#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#GERMAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_german;Freiherr;Freiherr;Freiherr;;Freiherr;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_german;Freifrau;Freifrau;Freifrau;;Freifrau;;;;;;;;;x;;;;;;;;;;;;;;;
baron_title_ruler_consort_german;Freiherr;Freiherr;Freiherr;;Freiherr;;;;;;;;;x;;;;;;;;;;;;;;;
baron_title_ruler_consort_female_german;Freifrau;Freifrau;Freifrau;;Freifrau;;;;;;;;;x;;;;;;;;;;;;;;;
count_german;Graf;Graf;Graf;;Graf;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_german;Gräfin;Gräfin;Gräfin;;Gräfin;;;;;;;;;x;;;;;;;;;;;;;;;
count_title_ruler_consort_german;Graf;Graf;Graf;;Graf;;;;;;;;;x;;;;;;;;;;;;;;;
count_title_ruler_consort_female_german;Gräfin;Gräfin;Gräfin;;Gräfin;;;;;;;;;x;;;;;;;;;;;;;;;
duke_german;Herzog;Herzog;Herzog;;Herzog;;;;;;;;;x;;;;;;;;;;;;;;;
duke_female_german;Herzogin;Herzogin;Herzogin;;Herzogin;;;;;;;;;x;;;;;;;;;;;;;;;
duke_title_ruler_consort_german;Herzog;Herzog;Herzog;;Herzog;;;;;;;;;x;;;;;;;;;;;;;;;
duke_title_ruler_consort_female_german;Herzogin;Herzogin;Herzogin;;Herzogin;;;;;;;;;x;;;;;;;;;;;;;;;
king_german;König;König;König;;König;;;;;;;;;x;;;;;;;;;;;;;;;
king_female_german;Königin;Königin;Königin;;Königin;;;;;;;;;x;;;;;;;;;;;;;;;
king_title_ruler_consort_german;König;König;König;;König;;;;;;;;;x;;;;;;;;;;;;;;;
king_title_ruler_consort_female_german;Königin;Königin;Königin;;Königin;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_german;Kaiser;Kaiser;Kaiser;;Káiser;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_female_german;Kaiserin;Kaiserin;Kaiserin;;Emperatriz;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_title_ruler_consort_female_german;Kaiserin;Kaiserin;Kaiserin;;Kaiserin;;;;;;;;;x;;;;;;;;;;;;;;;
title_prince_german;Prinz;Prinz;Prinz;;Prinz;;;;;;;;;x;;;;;;;;;;;;;;;
title_prince_female_german;Prinzessin;Prinzessin;Prinzessin;;Prinzessin;;;;;;;;;x;;;;;;;;;;;;;;;
city_baron_german;Bürgermeister;Bürgermeister;Bürgermeister;;Bürgermeister;;;;;;;;;x;;;;;;;;;;;;;;;
city_count_german;Oberbürgermeister;Oberbürgermeister;Oberbürgermeister;;Oberbürgermeister;;;;;;;;;x;;;;;;;;;;;;;;;
city_duke_german;Syndikus;Syndikus;Syndikus;;Syndikus;;;;;;;;;x;;;;;;;;;;;;;;;
city_king_german;Syndikus;Syndikus;Syndikus;;Syndikus;;;;;;;;;x;;;;;;;;;;;;;;;
city_emperor_german;Syndikus;Syndikus;Syndikus;;Syndikus;;;;;;;;;x;;;;;;;;;;;;;;;
city_barony_of_german;Vogtei;Vogtei;Vogtei;;Vogtei;;;;;;;;;x;;;;;;;;;;;;;;;
city_county_of_german;Freie Stadt;Freie Stadt;Freie Stadt;;Freie Stadt;;;;;;;;;x;;;;;;;;;;;;;;;
city_duchy_of_german;Freie Reichsstadt;Freie Reichsstadt;Freie Reichsstadt;;Freie Reichsstadt;;;;;;;;;x;;;;;;;;;;;;;;;
city_kingdom_of_german;Städtebund;Städtebund;Städtebund;;Städtebund;;;;;;;;;x;;;;;;;;;;;;;;;
city_empire_of_german;Reichsstädtebund;Reichsstädtebund;Reichsstädtebund;;Reichsstädtebund;;;;;;;;;x;;;;;;;;;;;;;;;
temple_baron_german;Reichsabt;Reichsabt;Reichsabt;;Reichsabt;;;;;;;;;x;;;;;;;;;;;;;;;
temple_count_catholic_german;Fürst-Bischof;Fürst-Bischof;Fürst-Bischof;;Fürst-Bischof;;;;;;;;;x;;;;;;;;;;;;;;;
temple_barony_of_catholic_german;Bistum;Bistum;Bistum;;Bistum;;;;;;;;;x;;;;;;;;;;;;;;;
temple_county_of_catholic_german;Fürst-Bistum;Fürst-Bistum;Fürst-Bistum;;Fürst-Bistum;;;;;;;;;x;;;;;;;;;;;;;;;
duchy_of_german;Herzogtum;Herzogtum;Herzogtum;;Herzogtum;;;;;;;;;x;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#GREEK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_greek;Tourmarches;Tourmarches;Tourmarches;;Tourmarches;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_greek;Tourmarchissa;Tourmarchissa;Tourmarchissa;;Tourmarchissa;;;;;;;;;x;;;;;;;;;;;;;;;
baron_title_ruler_consort_greek;Tourmarches;Tourmarches;Tourmarches;;Tourmarches;;;;;;;;;x;;;;;;;;;;;;;;;
baron_title_ruler_consort_female_greek;Tourmarchissa;Tourmarchissa;Tourmarchissa;;Tourmarchissa;;;;;;;;;x;;;;;;;;;;;;;;;
count_greek;Droungarios;Droungarios;Droungarios;;Droungarios;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_greek;Komissa;Komissa;Komissa;;Komissa;;;;;;;;;x;;;;;;;;;;;;;;;
count_title_ruler_consort_greek;Droungarios;Droungarios;Droungarios;;Droungarios;;;;;;;;;x;;;;;;;;;;;;;;;
count_title_ruler_consort_female_greek;Komissa;Komissa;Komissa;;Komissa;;;;;;;;;x;;;;;;;;;;;;;;;
duke_greek;Doux;Doux;Doux;;Doux;;;;;;;;;x;;;;;;;;;;;;;;;
duke_female_greek;Doukissa;Doukissa;Doukissa;;Doukissa;;;;;;;;;x;;;;;;;;;;;;;;;
duke_title_ruler_consort_greek;Doux;Doux;Doux;;Doux;;;;;;;;;x;;;;;;;;;;;;;;;
duke_title_ruler_consort_female_greek;Doukissa;Doukissa;Doukissa;;Doukissa;;;;;;;;;x;;;;;;;;;;;;;;;
king_greek;Despot;Despot;Despot;;Despot;;;;;;;;;x;;;;;;;;;;;;;;;
king_female_greek;Despoina;Despoina;Despoina;;Despoina;;;;;;;;;x;;;;;;;;;;;;;;;
king_title_ruler_consort_greek;Despot;Despot;Despot;;Despot;;;;;;;;;x;;;;;;;;;;;;;;;
king_title_ruler_consort_female_greek;Despoina;Despoina;Despoina;;Despoina;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_greek;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_female_greek;Basilissa;Basilissa;Basilissa;;Basilissa;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_title_ruler_consort_female_greek;Basilissa;Basilissa;Basilissa;;Basilissa;;;;;;;;;x;;;;;;;;;;;;;;;
title_prince_greek;Kaisar;Kaisar;Kaisar;;Kaisar;;;;;;;;;x;;;;;;;;;;;;;;;
title_prince_female_greek;Kaisarissa;Kaisarissa;Kaisarissa;;Kaisarissa;;;;;;;;;x;;;;;;;;;;;;;;;
barony_of_greek;Kastron;Kastron;Kastron;;Kastron;;;;;;;;;x;;;;;;;;;;;;;;;
county_of_greek;Katepanô;Katepanô;Katepanô;;Katepanô;;;;;;;;;x;;;;;;;;;;;;;;;
duchy_of_greek;Thema;Thema;Thema;;Thema;;;;;;;;;x;;;;;;;;;;;;;;;
kingdom_of_greek;Despotate of;Despotate of;Despotate of;;Despotate of;;;;;;;;;x;;;;;;;;;;;;;;;
city_baron_greek;Kephale;Kephale;Kephale;;Kephale;;;;;;;;;x;;;;;;;;;;;;;;;
city_count_greek;Archon;Archon;Archon;;Archon;;;;;;;;;x;;;;;;;;;;;;;;;
city_duke_greek;Protarchon;Protarchon;Protarchon;;Protarchon;;;;;;;;;x;;;;;;;;;;;;;;;
city_king_greek;Protodoux;Protodoux;Protodoux;;Protodoux;;;;;;;;;x;;;;;;;;;;;;;;;
city_emperor_greek;Megas Kyrios;Megas Kyrios;Megas Kyrios;;Megas Kyrios;;;;;;;;;x;;;;;;;;;;;;;;;
city_barony_of_greek;Kephalatikion;Kephalatikion;Kephalatikion;;Kephalatikion;;;;;;;;;x;;;;;;;;;;;;;;;
city_county_of_greek;Polis;Polis;Polis;;Polis;;;;;;;;;x;;;;;;;;;;;;;;;
city_duchy_of_greek;Politeia;Politeia;Politeia;;Politeia;;;;;;;;;x;;;;;;;;;;;;;;;
city_kingdom_of_greek;Archipoliteia;Archipoliteia;Archipoliteia;;Archipoliteia;;;;;;;;;x;;;;;;;;;;;;;;;
city_empire_of_greek;Dynasteia;Dynasteia;Dynasteia;;Dynasteia;;;;;;;;;x;;;;;;;;;;;;;;;
temple_count_greek;Episkopos;Episkopos;Episkopos;;Episkopos;;;;;;;;;x;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#SWEDISH, DANISH and NORWEGIAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_danish;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;
baron_swedish;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;
baron_norwegian;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_danish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_swedish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_norwegian;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;
count_danish;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;
count_swedish;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;
count_norwegian;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_danish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_swedish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_norwegian;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;
duke_danish;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x;;;;;;;;;;;;;;;x
duke_swedish;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x;;;;;;;;;;;;;;;x
duke_norwegian;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x;;;;;;;;;;;;;;;x
duke_female_danish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
duke_female_swedish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
duke_female_norwegian;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
king_danish;Konung;Konung;Konung;;Konung;;;;;;;;;x;;;;;;;;;;;;;;;x
king_swedish;Konung;Konung;Konung;;Konung;;;;;;;;;x;;;;;;;;;;;;;;;x
king_norwegian;Konung;Konung;Konung;;Konung;;;;;;;;;x;;;;;;;;;;;;;;;x
king_female_danish;Dróttning;Dróttning;Dróttning;;Dróttning;;;;;;;;;x;;;;;;;;;;;;;;;x
king_female_swedish;Dróttning;Dróttning;Dróttning;;Dróttning;;;;;;;;;x;;;;;;;;;;;;;;;x
king_female_norwegian;Dróttning;Dróttning;Dróttning;;Dróttning;;;;;;;;;x;;;;;;;;;;;;;;;x
emperor_danish;Keisari;Keisari;Keisari;;Keisari;;;;;;;;;x;;;;;;;;;;;;;;;x
emperor_swedish;Keisari;Keisari;Keisari;;Keisari;;;;;;;;;x;;;;;;;;;;;;;;;x
emperor_norwegian;Keisari;Keisari;Keisari;;Keisari;;;;;;;;;x;;;;;;;;;;;;;;;x
emperor_female_danish;Keisaraynja;Keisaraynja;Keisaraynja;;Keisaraynja;;;;;;;;;x;;;;;;;;;;;;;;;x
emperor_female_swedish;Keisaraynja;Keisaraynja;Keisaraynja;;Keisaraynja;;;;;;;;;x;;;;;;;;;;;;;;;x
emperor_female_norwegian;Keisaraynja;Keisaraynja;Keisaraynja;;Keisaraynja;;;;;;;;;x;;;;;;;;;;;;;;;x
baron_title_ruler_consort_danish;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;x
baron_title_ruler_consort_swedish;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;x
baron_title_ruler_consort_norwegian;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;x
baron_title_ruler_consort_female_danish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
baron_title_ruler_consort_female_swedish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
baron_title_ruler_consort_female_norwegian;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
count_title_ruler_consort_danish;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;x
count_title_ruler_consort_swedish;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;x
count_title_ruler_consort_norwegian;Herra;Herra;Herra;;Herra;;;;;;;;;x;;;;;;;;;;;;;;;x
count_title_ruler_consort_female_danish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
count_title_ruler_consort_female_swedish;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
count_title_ruler_consort_female_norwegian;Frú;Frú;Frú;;Frú;;;;;;;;;x;;;;;;;;;;;;;;;x
