#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
########################################;;;;;;;;;;;;;;
#New provinces;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV909;White Desert;Désert Blanc;White Desert;;White Desert;;;;;x;;;;
PROV911;Timbuktu;Timbuktu;Timbuktu;;Timbuktu;;;;;x;;;;
PROV912;Awdaghust;Aoudaghost;Awdaghust;;Awdaghust;;;;;x;;;;
PROV913;Wagadu;Ouagadou;Wagadu;;Wagadu;;;;;x;;;;
PROV914;Gao;Gao;Gao;;Gao;;;;;x;;;;
PROV915;Djenné;Djenné;Djenné;;Djenné;;;;;x;;;;
PROV916;Taghaza;Taghaza;Taghaza;;Taghaza;;;;;x;;;;
PROV917;Arawán;Araouane;Araouán;;Araouán;;;;;x;;;;
PROV918;Sijilmasa;Sijilmasa;Sijilmasa;;Sijilmasa;;;;;x;;;;
PROV919;Walata;Oualata;Walata;;Walata;;;;;x;;;;
PROV920;Wadán;Ouadane;Wadán;;Wadán;;;;;x;;;;
PROV921;Idjil;Idjil;Idjil;;Idjil;;;;;x;;;;
PROV922;Tadmekka;Tadmekka;Tadmekka;;Tadmekka;;;;;x;;;;
PROV923;Adrar Plateau;Adrar Plateau;Adrar Plateau;;Adrar Plateau;;;;;x;;;;
PROV924;Western Sahara;Western Sahara;Western Sahara;;Western Sahara;;;;;x;;;;
PROV925;Manding;Manding;Manding;;Manding;;;;;x;;;;
PROV926;Bambuk;Bambuk;Bambuk;;Bambuk;;;;;x;;;;
PROV927;Zarma;Zarma;Zarma;;Zarma;;;;;x;;;;
PROV928;Gurma;Gurma;Gurma;;Gurma;;;;;x;;;;
PROV929;Abruzzo;Abruzzo;Abruzzo;;Abruzzo;;;;;x;;;;
PROV930;Bar;Bar;Bar;;Bar;;;;;x;;;;
PROV931;Möre;Möre;Möre;;Möre;;;;;x;;;;
PROV932;Värend;Värend;Värend;;Värend;;;;;x;;;;
PROV933;Roslavl;Roslavl;Roslavl;;Roslavl;;;;;x;;;;
PROV934;Logozsk;Logozsk;Logozsk;;Logozsk;;;;;x;;;;
PROV935;Amalfi;Amalfi;Amalfi;;Amalfi;;;;;x;;;;
PROV936;;;;;;;;;;x;;;;
PROV937;Marsico;Marsico;Marsico;;Marsico;;;;;x;;;;
PROV938;Polimilje;Polimilje;Polimilje;;Polimilje;;;;;x;;;;
PROV939;Polybotos;Polybotos;Polybotos;;Polybotos;;;;;x;;;;
PROV940;Mosynopolis;Mosynopolis;Mosynopolis;;Mosynopolis;;;;;x;;;;
PROV941;Amasia;Amasia;Amasia;;Amasia;;;;;x;;;;
PROV942;Saarbrücken;Saarbrücken;Saarbrücken;;Saarbrücken;;;;;x;;;;
PROV943;Knin;Knin;Knin;;Knin;;;;;x;;;;
PROV944;Meirionnydd;Meirionnydd;Meirionnydd;;Meirionnydd;;;;;x;;;;
PROV945;Ceredigion;Ceredigion;Ceredigion;;Ceredigion;;;;;x;;;;
PROV946;Ystrad Tywi;Ystrad Tywi;Ystrad Tywi;;Ystrad Tywi;;;;;x;;;;
PROV947;Brycheiniog;Brycheiniog;Brycheiniog;;Brycheiniog;;;;;x;;;;
PROV948;Maelienydd;Maelienydd;Maelienydd;;Maelienydd;;;;;x;;;;
PROV949;Powys Wenwynwyn;Powys Wenwynwyn;Powys Wenwynwyn;;Powys Wenwynwyn;;;;;x;;;;
PROV950;Sillende;Sillende;Sillende;;Sillende;;;;;x;;;;
PROV951;Schwerin;Schwerin;Schwerin;;Schwerin;;;;;x;;;;
PROV952;Hanau;Hanau;Hanau;;Hanau;;;;;x;;;;
PROV953;Bentheim;Bentheim;Bentheim;;Bentheim;;;;;x;;;;
PROV954;Zeitz;Zeitz;Zeitz;;Zeitz;;;;;x;;;;
PROV955;Augsburg;Augsburg;Augsburg;;Augsburg;;;;;x;;;;
PROV956;San Marino;San Marino;San Marino;;San Marino;;;;;x;;;;
PROV957;Reggio nell Emilia;Reggio nell Emilia;Reggio nell Emilia;;Reggio nell Emilia;;;;;x;;;;
PROV958;Trieste;Trieste;Trieste;;Trieste;;;;;x;;;;
PROV959;Bihac;Bihac;Bihac;;Bihac;;;;;x;;;;
PROV960;Lauffen;Lauffen;Lauffen;;Lauffen;;;;;x;;;;
PROV961;Branicevo;Branicevo;Branicevo;;Branicevo;;;;;x;;;;
PROV962;Braslaw;Braslaw;Braslaw;;Braslaw;;;;;x;;;;
PROV963;Jersika;Jersika;Jersika;;Jersika;;;;;x;;;;
PROV964;;;;;;;;;;x;;;;
PROV965;Travunia;Travunia;Travunia;;Travunia;;;;;x;;;;
PROV966;Vorotynsk;Vorotynsk;Vorotynsk;;Vorotynsk;;;;;x;;;;
PROV967;Eivissa;Eivissa;Eivissa;;Eivissa;;;;;x;;;;
PROV968;Saone;Saone;Saone;;Saone;;;;;x;;;;
PROV969;Sis;Sis;Sis;;Sis;;;;;x;;;;
PROV970;Comburg-Röthenburg;Comburg-Röthenburg;Comburg-Röthenburg;;Comburg-Röthenburg;;;;;x;;;;
PROV971;Philadelphia;Philadelphia;Philadelphia;;Philadelphia;;;;;x;;;;
PROV972;Mersey;Mersey;Mersey;;Mersey;;;;;x;;;;
PROV973;Bearroc;Bearroc;Bearroc;;Bearroc;;;;;x;;;;
PROV974;Buckingham;Buckingham;Buckingham;;Buckingham;;;;;x;;;;
PROV975;Mide;Mide;Mide;;Mide;;;;;x;;;;
PROV976;Roscommon;Roscommon;Roscommon;;Roscommon;;;;;x;;;;
PROV977;Trim;Trim;Trim;;Trim;;;;;x;;;;
PROV978;Merseburg;Merseburg;Merseburg;;Merseburg;;;;;x;;;;
PROV979;Deltuva;Deltuva;Deltuva;;Deltuva;;;;;x;;;;
PROV980;Goslar;Goslar;Goslar;;Goslar;;;;;x;;;;
PROV981;Ansbach;Ansbach;Ansbach;;Ansbach;;;;;x;;;;
PROV982;Prignitz;Prignitz;Prignitz;;Prignitz;;;;;x;;;;
PROV983;Isle of Ely;Isle of Ely;Isle of Ely;;Isle of Ely;;;;;x;;;;
PROV984;Järva;Järva;Järva;;Järva;;;;;x;;;;
PROV985;Sèlija;Sèlija;Sèlija;;Sèlija;;;;;x;;;;
PROV986;Metsepole;Metsepole;Metsepole;;Metsepole;;;;;x;;;;
PROV987;Rotalia;Rotalia;Rotalia;;Rotalia;;;;;x;;;;
